и	7416716
в	5842670
не	3385161
на	2936096
с	2228350
что	2210373
я	1592127
а	1541398
он	1377314
как	1300577
к	1132463
по	1071698
но	1048321
его	983462
это	957828
из	836230
все	817619
у	798746
за	754712
от	747239
то	695763
о	685187
же	665139
так	663853
для	600197
было	592525
она	553635
только	516518
мы	501250
бы	485709
мне	449883
был	442198
ее	438349
или	434375
еще	432318
меня	422671
их	415977
они	412867
до	400385
когда	390040
уже	385992
ты	348216
если	347484
да	338405
вы	338350
вот	310419
при	305370
ни	305025
ему	302129
чтобы	286114
нет	269615
есть	267554
даже	264014
может	263199
быть	262913
во	259603
время	255317
очень	252939
были	249393
была	246499
сказал	233062
ли	231733
под	228843
со	222715
себя	220734
нас	218046
где	216726
него	216511
чем	213262
того	209534
без	205150
будет	204581
этого	202868
теперь	201329
после	195907
там	192639
можно	189774
этом	189405
раз	184146
себе	180956
тем	177179
этот	176597
ну	175961
том	174807
потом	173458
более	170327
них	168703
которые	167945
всех	167764
человек	166587
ничего	163311
надо	162849
тут	160363
тогда	159227
здесь	158961
потому	157741
один	157644
кто	156987
через	153712
который	151251
