2	12	35	8	14	7	6	15	7	7	19	27	19	45	5	11
5					9	1		6			6		2	21	
35	1	5	3	3	32		2	17		7	10	3	9	58	6
7				3	3			5		1	5		1	50	
25		3	1	1	29	1	1	13		1	5	1	13	22	3
2	9	18	11	27	7	5	10	6	15	13	35	24	63	7	16
5	1			6	12			5					6		
35	1	7	1	5	3			4		2	1	2	9	9	1
4	6	22	5	10	21	2	23	19	11	19	21	20	32	8	13
1	1	4	1	3		1	2	4		5	1	2	7	9	7
24	1	4	1		4	1	1	26		1	4	1	2	66	2
25	1	1	1	1	33	2	1	36		1	2	1	8	30	2
18	2	4	1	1	21	1	2	23		3	1	3	7	19	5
54	1	2	3	3	34			58		3		1	24	67	2
1	28	84	32	47	15	7	18	12	29	19	41	38	30	9	18
7					15			4			9		1	46	
